InvAcct,Security,SecType,SecSubType,Ticker,Last Price,End Pos,End Value,Abs PrcChg,Abs ValChg,Pct PrcChg,TR 1Day,TR 1Wk,TR 1Mth,TR 3Mth,TR YTD,TR 1Year,TR 3Year,TR ALL,AnnRet All,Long Basis,Short Basis,Income,Ann. Div,Div Yield,Yield On Basis,Rlzd Gain,Unrlzd Gain,Total Gain
StockBrokerage1,Aeropostale,STOCK,Mid Cap,ARO,27.46,0,0,-0.25,0,-0.009022014,,,-0.545110193,-0.369864207,,,,-0.383771069,-0.823073719,0,0,97.21,0,0,0,-1803.66,0,-1803.66
StockBrokerage1,Citigroup,STOCK,Large Cap,C,3.85,-89.9704,-346.38,-0.11,9.89,-0.027777778,-0.027787134,0.018525053,-0.119007045,0.190746045,,,,0.300470818,1.374950306,0,-304.35,0,0,0,0,-43.53,-42.03,-85.56
StockBrokerage1,Dell,STOCK,Large Cap,DELL,13.09,800,10472,-0.24,-192,-0.018004501,-0.018004501,-0.018004501,-0.190976514,-0.014307229,-0.084615385,0.120719178,-0.52016129,0.026424633,0.002125172,10340,0,141.17,141.17,0.012987013,0,0,132,132
StockBrokerage1,Financial Select Sector SPDR,MUTUAL,Exchange Traded Fund,XLF,14.37,0,0,-0.31,0,-0.021117166,,,,,,,,NaN,,0,0,0,0,0,0,0,0,0
StockBrokerage1,Vanguard S&P 500 Fund,MUTUAL,U.S. Stocks,VFINX,98.95,0,0,-1.73,0,-0.017183155,,,-0.060099196,-0.001583503,0.002209086,0.198904439,,0.565709552,0.480330526,0,0,309.72,0,0,0,6223.47,0,6223.47
StockBrokerage1,Yahoo,STOCK,Large Cap,YHOO,15.02,53.0228,796.4,-0.32,-16.96,-0.020860495,-0.020851775,-0.018933934,-0.091344728,-0.048767961,,,,-0.110698327,-0.255615574,894.61,0,0,0,0,0,0,-98.21,-98.21
StockBrokerage1,CASH,MUTUAL,Money Market,CASH,1,28724.88,28724.88,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.001750529,0.005528197,0.009814883,7.93E-04,28724.88,0,284.77,71.88,0,0,0,0,0
StockBrokerage1 ,All Securities ,,,,0,0,10922.02,0,-199.07,0,-0.017899341,-0.019187855,-0.325399761,-0.074815451,-0.094714225,0.090872327,-0.252281094,0.426794206,0.029738786,11234.61,-304.35,548.1,141.17,0.012987013,0,4376.28,-8.24,4368.04
StockBrokerage1  ,Securities/CASH-ALL,,,,0,0,39646.9,0,-199.07,0,-0.004995739,-0.005360435,-0.14273822,-0.049420045,-0.066112506,0.060668643,-0.143573794,0.147350899,0.011225132,39959.49,-304.35,832.87,213.05,0.005327145,0.00533165,4376.28,-8.24,4368.04
StockBrokerage2,Dell,STOCK,Large Cap,DELL,13.09,197,2578.73,-0.24,-47.28,-0.018004501,-0.018004501,-0.018004501,-0.190976514,,,,,-0.14306204,-0.567438494,2986.91,0,0,0,0,0,0,-408.18,-408.18
StockBrokerage2,Financial Select Sector SPDR,MUTUAL,Exchange Traded Fund,XLF,14.37,0,0,-0.31,0,-0.021117166,,,,0.097979488,0.122379032,,,0.112131747,0.187367026,0,0,21.48,0,0,0,330.07,0,330.07
StockBrokerage2,iShares MSCI EAFE Index,STOCK,Large Cap,EFA,47.84,0,0,-0.48,0,-0.009933775,,,,,,,,NaN,,0,0,0,0,0,0,0,0,0
StockBrokerage2,CASH,MUTUAL,Money Market,CASH,1,7364.64,7364.64,0,0,0,0,0,0,0,0,,,0,0,7364.64,0,0,0,0,0,0,0,0
StockBrokerage2 ,All Securities ,,,,0,0,2578.73,0,-47.28,0,-0.018004501,-0.018004501,-0.190976514,-0.030721375,-0.008401683,,,-0.01819278,-0.023439739,2986.91,0,21.48,0,0,0,330.07,-408.18,-78.11
StockBrokerage2  ,Securities/CASH-ALL,,,,0,0,9943.37,0,-47.28,0,-0.004732425,-0.004732425,-0.057688043,-0.009484409,-0.002584977,,,-0.005693171,-0.007097954,10351.55,0,21.48,0,0,0,330.07,-408.18,-78.11
StockBrokerage3,CASH,MUTUAL,Money Market,CASH,1,621.38,621.38,0,0,0,0,0,0,,,,,0,0,621.38,0,0,0,0,0,0,0,0
StockBrokerage4,Vanguard Total Bond Market Index Inv,MUTUAL,Bond,VBMFX,10.58,21.173,224.01,0.01,0.21,9.46E-04,9.83E-04,-0.002804487,0.006696027,,,,,9.04E-05,3.98E-04,223.99,0,0,0,0,0,0,0.02,0.02
StockBrokerage4,CASH,MUTUAL,Money Market,CASH,1,993.64,993.64,0,0,0,0,0,0,,,,,0,0,993.64,0,0,0,0,0,0,0,0
