ParentAcct ,Security ,TxnNum ,Date,TxnType,Desc,Buy,Sell,Short,Cover,Commison,Income,Expense,transfer,secQuantity,MktPrice,Position,LongBasis,ShortBasis,OpenValue,CumUnrealGain,PerUnrealGain,PerRealGain,PerInc_Exp,PerTotalGain,CumTotalGain
StockBrokerage1,Aeropostale,20,2/2/2010,BUY,Buy ARO (Split Test),-3780,0,0,0,-17,0,0,0,112,35.33999728,112,3797,0,3958.079695,161.0796952,161.0796952,0,0,161.0796952,161.0796952
StockBrokerage1,Aeropostale,18,3/15/2010,BUY,Buy ARO,-1710,0,0,0,-10,0,0,0,60,28.33000031,228,5517,0,6459.24007,942.2400704,781.1603752,0,0,781.1603752,942.2400704
StockBrokerage1,Aeropostale,14,3/29/2010,DIVIDEND,Dividend ARO,0,0,0,0,0,97.21,0,0,0,28.38000141,228,5517,0,6470.640321,953.6403209,11.40025054,0,97.21,11.40025054,953.6403209
StockBrokerage1,Aeropostale,6,4/8/2010,MISCEXP,Tax Expense ARO,0,0,0,0,0,0,-3.76,0,0,30.1200011,228,5517,0,6867.36025,1350.36025,396.719929,0,-3.76,396.719929,1350.36025
StockBrokerage1,Aeropostale,4,4/15/2010,SELL,Sell ARO,0,936,0,0,-9,0,0,0,-30,31.06999791,198,4791.078947,0,6151.859586,1360.780639,188.0993689,201.0789474,0,389.1783163,1739.538566
StockBrokerage1,Aeropostale,115,4/28/2010,SELL_XFER,Sell Xfer ARO,0,332.28,0,0,-3,0,0,-329.28,-12,30.62000301,186,4500.710526,0,5695.320559,1194.610033,-83.69905179,38.91157895,0,-44.78747284,1694.751093
StockBrokerage1,Aeropostale,126,5/14/2010,SELL,Sell  ARO,0,2457.06,0,0,0,0,0,0,-186,27.48,0,0,0,0,0,0,-2043.650526,0,-2043.650526,-348.8994329
StockBrokerage1,Citigroup,89,2/10/2010,SHORT,short Citi,0,0,162.18,0,-11,0,0,0,-51,3.2,-51,0,-151.18,-163.2,-12.02,-12.02,0,0,-12.02,-12.02
StockBrokerage1,Citigroup,16,3/15/2010,SHORT,Short Citi,0,0,304.2,0,-19,0,0,0,-78,3.889999981,-129,0,-436.38,-501.8099975,-65.42999754,-53.40999754,0,0,-53.40999754,-65.42999754
StockBrokerage1,Citigroup,92,3/31/2010,MISCEXP,Payment of Divs on Short Citi,0,0,-12.27,0,0,0,0,0,3.0296,4.050000004,-125.9704,0,-426.1314973,-510.1801205,-84.04862321,-20.15526691,0,0,-20.15526691,-85.58526445
StockBrokerage1,Citigroup,96,4/28/2010,COVER,Cover Citigroup,0,0,0,-156.31,-9,0,0,0,36,4.450000022,-89.9704,0,-304.3510322,-400.368282,-96.01724982,-35.98816164,-43.52953488,0,-79.51769652,-165.102961
StockBrokerage1,Dell,56,2/4/1998,BUY,Buy Dell,-10330,0,0,0,-10,0,0,0,100,103.3000225,100,10340,0,10330.00225,-9.99774806,-9.99774806,0,0,-9.99774806,-9.99774806
StockBrokerage1,Dell,103,12/28/2006,DIVIDENDXFR,Dividend Transfer Dell,0,0,0,0,0,141.17,0,-141.17,0,25.19,800,10340,0,20152,9812,9821.997748,0,141.17,9821.997748,9812
StockBrokerage1,Vanguard S&P 500 Fund,12,3/10/2009,BUY,Buy Vanguard,-11474.63,0,0,0,-12.19,0,0,0,172.2141,66.63002016,172.2141,11486.82,0,11474.62895,-12.19104592,-12.19104592,0,0,-12.19104592,-12.19104592
StockBrokerage1,Vanguard S&P 500 Fund,10,12/30/2009,DIVIDEND_REINVEST,Dividend Reinvest Vanguard,-302.11,0,0,0,0,302.11,0,0,2.913,103.7100185,175.1271,11788.93,0,18162.43478,6373.504779,6385.695825,0,302.11,6385.695825,6373.504779
StockBrokerage1,Vanguard S&P 500 Fund,112,3/28/2010,MISCINC,LTCAP Vanguard,0,0,0,0,0,7.61,0,0,0,107.8799857,175.1271,11788.93,0,18892.70904,7103.779039,730.2742597,0,7.61,730.2742597,7103.779039
StockBrokerage1,Vanguard S&P 500 Fund,128,5/3/2010,SELL,Sell VFINX,0,18034.59,0,0,-22.19,0,0,0,-175.1271,110.8599517,0,0,0,0,0,0,6223.47,0,6223.47,13327.24904
StockBrokerage1,Yahoo,99,1/8/2010,BUY_XFER,Buy Yahoo,-899.1,0,0,0,-12,0,0,911.1,54,16.69999987,54,911.1,0,901.7999928,-9.300007214,-9.300007214,0,0,-9.300007214,-9.300007214
StockBrokerage1,Yahoo,122,1/9/2010,MISCINC,Return of Capital from Yahoo,16.32,0,0,0,0,0,0,0,-0.9772,16.69999987,53.0228,894.6124644,0,885.4807529,-9.131711528,0,0,0,0,-9.300007214
StockBrokerage1,CASH,190,1/30/1998,BANK,Inserted for Inital Balance: StockBrokerage1,-20000,0,0,0,0,0,0,0,20000,1,20000,20000,0,20000,0,0,0,0,0,0
StockBrokerage1,CASH,59,2/2/1998,BANK,INSERTED: Transfer Cash To Stock Brokerage,-15000,0,0,0,0,0,0,0,15000,1,35000,35000,0,35000,0,0,0,0,0,0
StockBrokerage1,CASH,61,2/2/1998,BANK,INSERTED: Account Opening Fee,0,55.21,0,0,0,0,-55.21,0,-55.21,1,34944.79,34944.79,0,34944.79,0,0,0,-55.21,-55.21,-55.21
StockBrokerage1,CASH,56.1,2/4/1998,BUY,INSERTED: Buy Dell,0,10340,0,0,0,0,0,0,-10340,1,24604.79,24604.79,0,24604.79,0,0,0,0,0,-55.21
StockBrokerage1,CASH,63,12/31/1998,BANK,INSERTED: Account Interest,-12,0,0,0,0,12,0,0,12,1,24616.79,24616.79,0,24616.79,0,0,0,12,12,-43.21
