PrntAcct,Security,Ticker,LastPrice,EndPos,EndValue,AbsPrcChg,AbsValChg,PctPrcChg,TR1Day,TR1Wk,TR1Mth,TR3Mth,TR_YTD,TR1Year,TR3Year,TR_ALL,AnnRet_ALL,AvgCost,income,TotGain
StockBrokerage1,Aeropostale,ARO,27.46,0,0,-0.25,0,-0.009022014,NaN,NaN,-0.545110215,-0.369864279,-0.380008607,-0.380008607,-0.380008607,-0.380008607,-0.823073719,0,97.21,-1803.66
StockBrokerage1,Citigroup,C,3.85,-93,-358.05,-0.11,10.23,-0.027777778,-0.027777778,0.018518519,-0.118993142,0.224539976,0.337468181,0.337468181,0.337468181,0.337468181,1.627113109,-305.7537209,0,-99.25
StockBrokerage1,Dell,DELL,13.09,800,10472,-0.24,-192,-0.018004501,-0.018004501,-0.018004501,-0.190976514,-0.014307229,-0.084615385,0.120719178,-0.52016129,0.026418762,0.002125172,10340,141.17,132
StockBrokerage1,Financial Select Sector SPDR,XLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StockBrokerage1,Vanguard S&P 500 Fund,VFINX,98.95,0,0,-1.73,0,-0.017183155,NaN,NaN,-0.060099811,-0.001583542,0.002208203,0.198904542,0.564362625,0.564362625,0.480330526,0,309.72,6223.47
StockBrokerage1,Yahoo,YHOO,15.02,54,811.08,-0.32,-17.28,-0.020860495,-0.020860495,-0.018941868,-0.091349029,-0.048765076,-0.0935307,-0.0935307,-0.0935307,-0.0935307,-0.22034716,894.78,0,-83.7
StockBrokerage1,~AllSec,~Null,0,0,10925.03,0,-199.05,0,-0.017893615,-0.019226695,-0.325348921,-0.075221322,-0.09461377,0.090994498,-0.252168009,0.426960956,0.029754503,10929.02628,548.1,4368.86
StockBrokerage1,~AllSec+Cash,~Null,0,0,39649.91,0,-199.05,0,-0.004995112,-0.005372506,-0.142727499,-0.049781401,-0.066108702,0.061000859,-0.143816711,0.147844578,0.011231305,0,832.87,4368.86
StockBrokerage1,~Cash,~Null,0,28724.88,28724.88,0,0,0,0,0,0,0,2.8199E-16,0.003503612,0.011085268,0.01966993,0.001582218,0,284.77,0
StockBrokerage2,Dell,DELL,13.09,197,2578.73,-0.24,-47.28,-0.018004501,-0.018004501,-0.018004501,-0.190976514,-0.136656277,-0.136656277,-0.136656277,-0.136656277,-0.136656277,-0.567438494,2986.91,0,-408.18
StockBrokerage2,Financial Select Sector SPDR,XLF,14.37,0,0,-0.31,0,-0.021117166,NaN,NaN,NaN,0.097979488,0.122379032,0.11064983,0.11064983,0.11064983,0.187367026,0,21.48,330.07
StockBrokerage2,iShares MSCI EAFE Index,EFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StockBrokerage2,~AllSec,~Null,0,0,2578.73,0,-47.28,0,-0.018004501,-0.018004501,-0.190976514,-0.030721375,-0.008401683,-0.018000603,-0.018000603,-0.018000603,-0.023439739,2986.91,21.48,-7.81E+01
StockBrokerage2,~AllSec+Cash,~Null,0,0,9943.37,0,-47.28,0,-0.004732425,-0.004732425,-0.057688043,-0.009484409,-0.002584977,-0.005663,-0.005663,-0.005663,-0.007097954,0,21.48,-7.81E+01
StockBrokerage2,~Cash,~Null,0,7364.64,7364.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00
StockBrokerage3,~AllSec+Cash,~Null,0,0,621.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StockBrokerage3,~Cash,~Null,0,621.38,621.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StockBrokerage4,Vanguard Total Bond Market Index Inv,VBMFX,10.58,21.173,224.01034,0.01,0.21173,9.46E-04,9.46E-04,-0.002827521,0.006660324,9.08E-05,9.08E-05,9.08E-05,9.08E-05,9.08E-05,4.04E-04,223.99,0,0.02034
StockBrokerage4,~AllSec,~Null,0,0,224.01034,0,0.21173,0,9.46E-04,-0.002827521,0.006660324,9.08E-05,9.08E-05,9.08E-05,9.08E-05,9.08E-05,4.04E-04,223.99,0,0.02034
StockBrokerage4,~AllSec+Cash,~Null,0,0,1217.65034,0,0.21173,0,1.74E-04,-5.21E-04,0.001218672,1.67E-05,1.67E-05,1.67E-05,1.67E-05,1.67E-05,7.35E-05,0,0,0.02034
StockBrokerage4,~Cash,~Null,0,993.64,993.64,0,0,0,0,0,0,-2.85E-17,-2.85E-17,-2.85E-17,-2.85E-17,-2.85E-17,-1.11E-16,0,0,0
StockBrokerage5,Yahoo,YHOO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StockBrokerage5,~AllSec,~Null,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
StockBrokerage5,~AllSec+Cash,~Null,0,0,2873.39,0,0,0,0,0,0.019999645,0.019999645,0.019999645,0.019999645,0.019999645,0.019999645,0.43532542,0,56.34,0
StockBrokerage5,~Cash,~Null,0,2873.39,2873.39,0,0,0,0,0,0.03999929,0.03999929,0.03999929,0.03999929,0.03999929,0.03999929,1.073713458,0,56.34,0
~ALL,~AllSec,~Null,0,0,13727.77034,0,-246.11827,0,-0.017612726,-0.018733945,-0.30415952,-0.070296735,-0.086255814,0.080612498,-0.24666468,0.414812835,0.029084336,14139.92628,569.58,4290.77034
~ALL,~AllSec+Cash,~Null,0,0,54305.70034,0,-246.11827,0,-0.004511642,-0.004802929,-0.11637604,-0.037691442,-0.049020837,0.045992428,-0.12545335,0.130275544,0.009978055,0,910.69,4290.77034
~ALL,~Cash,~Null,0,40577.93,40577.93,0,0,0,0,0,0.002984271,0.004428669,0.004701617,0.007043708,0.012954603,0.020545481,0.001651763,0,341.11,0
